value,qualifiers,dateTime,station,parameter,param_code
15.9,['P'],2026-02-09 17:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.1,['P'],2026-02-09 17:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.2,['P'],2026-02-09 17:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.2,['P'],2026-02-09 17:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.4,['P'],2026-02-09 18:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.4,['P'],2026-02-09 18:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.5,['P'],2026-02-09 18:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.5,['P'],2026-02-09 18:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.6,['P'],2026-02-09 19:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.5,['P'],2026-02-09 19:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.5,['P'],2026-02-09 19:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.4,['P'],2026-02-09 19:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.3,['P'],2026-02-09 20:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.2,['P'],2026-02-09 20:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.2,['P'],2026-02-09 20:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.1,['P'],2026-02-09 20:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.1,['P'],2026-02-09 21:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.0,['P'],2026-02-09 21:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.0,['P'],2026-02-09 21:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.9,['P'],2026-02-09 21:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.9,['P'],2026-02-09 22:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.9,['P'],2026-02-09 22:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.8,['P'],2026-02-09 22:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.8,['P'],2026-02-09 22:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.8,['P'],2026-02-09 23:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.7,['P'],2026-02-09 23:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.7,['P'],2026-02-09 23:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
